Esport,Rival,Dia,Sector,Preu
Handbol,TM Benidorm,2023-04-08,ZONA 3 INFERIOR NORTE,11
Handbol,TM Benidorm,2023-04-08,ZONA 2 TRIBUNA,13
Handbol,TM Benidorm,2023-04-08,ZONA 2 LATERAL,13
Handbol,TM Benidorm,2023-04-08,ZONA 1 SUPERIOR TRIBUNA,16
Handbol,TM Benidorm,2023-04-08,ZONA 1 SUPERIOR LATERAL,16
Handbol,TM Benidorm,2023-04-08,ZONA 1 INFERIOR TRIBUNA,18
Handbol,TM Benidorm,2023-04-08,ZONA 1 INFERIOR LATERAL,18
Handbol,BM Logroño La Rioja,2023-04-22,ZONA 2 TRIBUNA,11
Handbol,BM Logroño La Rioja,2023-04-22,ZONA 3 INFERIOR SUR,11
Handbol,BM Logroño La Rioja,2023-04-22,ZONA 3 INFERIOR NORTE,11
Handbol,BM Logroño La Rioja,2023-04-22,ZONA 2 TRIBUNA,13
Handbol,BM Logroño La Rioja,2023-04-22,ZONA 2 LATERAL,13
Handbol,BM Logroño La Rioja,2023-04-22,ZONA 1 SUPERIOR TRIBUNA,16
Handbol,BM Logroño La Rioja,2023-04-22,ZONA 1 SUPERIOR LATERAL,16
Handbol,BM Logroño La Rioja,2023-04-22,ZONA 1 INFERIOR TRIBUNA,18
Handbol,BM Logroño La Rioja,2023-04-22,ZONA 1 INFERIOR LATERAL,18
Handbol,Club Cisne,2023-05-20,ZONA 2 TRIBUNA,9
Handbol,Club Cisne,2023-05-20,ZONA 3 INFERIOR SUR,9
Handbol,Club Cisne,2023-05-20,ZONA 3 INFERIOR NORTE,9
Handbol,Club Cisne,2023-05-20,ZONA 2 TRIBUNA,11
Handbol,Club Cisne,2023-05-20,ZONA 2 LATERAL,11
Handbol,Club Cisne,2023-05-20,ZONA 1 SUPERIOR TRIBUNA,13
Handbol,Club Cisne,2023-05-20,ZONA 1 SUPERIOR LATERAL,13
Handbol,Club Cisne,2023-05-20,ZONA 1 INFERIOR TRIBUNA,15
Handbol,Club Cisne,2023-05-20,ZONA 1 INFERIOR LATERAL,15
Handbol,ABANCA Ademar León,2023-06-03,ZONA 2 TRIBUNA,11
Handbol,ABANCA Ademar León,2023-06-03,ZONA 3 INFERIOR SUR,11
Handbol,ABANCA Ademar León,2023-06-03,ZONA 3 INFERIOR NORTE,11
Handbol,ABANCA Ademar León,2023-06-03,ZONA 2 TRIBUNA,13
Handbol,ABANCA Ademar León,2023-06-03,ZONA 2 LATERAL,13
Handbol,ABANCA Ademar León,2023-06-03,ZONA 1 SUPERIOR TRIBUNA,16
Handbol,ABANCA Ademar León,2023-06-03,ZONA 1 SUPERIOR LATERAL,16
Handbol,ABANCA Ademar León,2023-06-03,ZONA 1 INFERIOR TRIBUNA,18
Handbol,ABANCA Ademar León,2023-06-03,ZONA 1 INFERIOR LATERAL,18
Hockey_patins,Reus Deportiu Virginias,2022-11-26,ZONA 3 INFERIOR NORTE,9
Hockey_patins,Reus Deportiu Virginias,2022-11-26,ZONA 2 TRIBUNA,9
Hockey_patins,Reus Deportiu Virginias,2022-11-26,ZONA 2 LATERAL,9
Hockey_patins,Reus Deportiu Virginias,2022-11-26,ZONA 1 SUPERIOR TRIBUNA,9
Hockey_patins,Reus Deportiu Virginias,2022-11-26,ZONA 1 SUPERIOR LATERAL,9
Hockey_patins,Reus Deportiu Virginias,2022-11-26,ZONA 3 INFERIOR SUR,9
Hockey_patins,Reus Deportiu Virginias,2022-11-26,ZONA 1 INFERIOR LATERAL,9
Hockey_patins,Pas Alcoi,2022-12-03,ZONA 3 INFERIOR NORTE,9
Hockey_patins,Pas Alcoi,2022-12-03,ZONA 2 TRIBUNA,9
Hockey_patins,Pas Alcoi,2022-12-03,ZONA 2 LATERAL,9
Hockey_patins,Pas Alcoi,2022-12-03,ZONA 1 SUPERIOR LATERAL,9
Hockey_patins,Pas Alcoi,2022-12-03,ZONA 3 INFERIOR SUR,9
Hockey_patins,Pas Alcoi,2022-12-03,ZONA 1 INFERIOR LATERAL,9
Hockey_patins,Igualada Rigat HC,2022-12-11,ZONA 3 INFERIOR NORTE,9
Hockey_patins,Igualada Rigat HC,2022-12-11,ZONA 2 TRIBUNA,9
Hockey_patins,Igualada Rigat HC,2022-12-11,ZONA 2 LATERAL,9
Hockey_patins,Igualada Rigat HC,2022-12-11,ZONA 1 SUPERIOR LATERAL,9
Hockey_patins,Igualada Rigat HC,2022-12-11,ZONA 3 INFERIOR SUR,9
Hockey_patins,Igualada Rigat HC,2022-12-11,ZONA 1 INFERIOR LATERAL,9
Hockey_patins,Digittecnic CP Vilafranca Capital del Vi,2023-01-07,ZONA 3 INFERIOR NORTE,9
Hockey_patins,Digittecnic CP Vilafranca Capital del Vi,2023-01-07,ZONA 2 TRIBUNA,9
Hockey_patins,Digittecnic CP Vilafranca Capital del Vi,2023-01-07,ZONA 2 LATERAL,9
Hockey_patins,Digittecnic CP Vilafranca Capital del Vi,2023-01-07,ZONA 1 SUPERIOR LATERAL,9
Hockey_patins,Digittecnic CP Vilafranca Capital del Vi,2023-01-07,ZONA 3 INFERIOR SUR,9
Hockey_patins,Digittecnic CP Vilafranca Capital del Vi,2023-01-07,ZONA 1 INFERIOR LATERAL,9
Hockey_patins,Finques Prats Lleida,2023-01-14,ZONA 3 INFERIOR NORTE,9
Hockey_patins,Finques Prats Lleida,2023-01-14,ZONA 2 TRIBUNA,9
Hockey_patins,Finques Prats Lleida,2023-01-14,ZONA 2 LATERAL,9
Hockey_patins,Finques Prats Lleida,2023-01-14,ZONA 1 SUPERIOR LATERAL,9
Hockey_patins,Finques Prats Lleida,2023-01-14,ZONA 3 INFERIOR SUR,9
Hockey_patins,Finques Prats Lleida,2023-01-14,ZONA 1 INFERIOR LATERAL,9
Hockey_patins,Garatge Plana Girona CH,2023-01-28,ZONA 3 INFERIOR NORTE,9
Hockey_patins,Garatge Plana Girona CH,2023-01-28,ZONA 2 TRIBUNA,9
Hockey_patins,Garatge Plana Girona CH,2023-01-28,ZONA 2 LATERAL,9
Hockey_patins,Garatge Plana Girona CH,2023-01-28,ZONA 1 SUPERIOR LATERAL,9
Hockey_patins,Garatge Plana Girona CH,2023-01-28,ZONA 3 INFERIOR SUR,9
Hockey_patins,Garatge Plana Girona CH,2023-01-28,ZONA 1 INFERIOR LATERAL,9
Hockey_patins,Solideo PHC Sant Cugat,2023-02-11,ZONA 3 INFERIOR NORTE,9
Hockey_patins,Solideo PHC Sant Cugat,2023-02-11,ZONA 2 TRIBUNA,9
Hockey_patins,Solideo PHC Sant Cugat,2023-02-11,ZONA 2 LATERAL,9
Hockey_patins,Solideo PHC Sant Cugat,2023-02-11,ZONA 1 SUPERIOR LATERAL,9
Hockey_patins,Solideo PHC Sant Cugat,2023-02-11,ZONA 3 INFERIOR SUR,9
Hockey_patins,Solideo PHC Sant Cugat,2023-02-11,ZONA 1 INFERIOR LATERAL,9
Hockey_patins,Deportivo Liceo,2023-02-25,ZONA 3 INFERIOR NORTE,9
Hockey_patins,Deportivo Liceo,2023-02-25,ZONA 2 TRIBUNA,9
Hockey_patins,Deportivo Liceo,2023-02-25,ZONA 2 LATERAL,9
Hockey_patins,Deportivo Liceo,2023-02-25,ZONA 1 SUPERIOR LATERAL,9
Hockey_patins,Deportivo Liceo,2023-02-25,ZONA 3 INFERIOR SUR,9
Hockey_patins,Deportivo Liceo,2023-02-25,ZONA 1 INFERIOR LATERAL,9
Hockey_patins,Parlem Calafell,2023-03-25,ZONA 3 INFERIOR NORTE,9
Hockey_patins,Parlem Calafell,2023-03-25,ZONA 2 TRIBUNA,9
Hockey_patins,Parlem Calafell,2023-03-25,ZONA 2 LATERAL,9
Hockey_patins,Parlem Calafell,2023-03-25,ZONA 1 SUPERIOR LATERAL,9
Hockey_patins,Parlem Calafell,2023-03-25,ZONA 3 INFERIOR SUR,9
Hockey_patins,Parlem Calafell,2023-03-25,ZONA 1 INFERIOR LATERAL,9
Hockey_patins,Recam Làser CH Caldes,2023-04-15,ZONA 3 INFERIOR NORTE,9
Hockey_patins,Recam Làser CH Caldes,2023-04-15,ZONA 2 TRIBUNA,9
Hockey_patins,Recam Làser CH Caldes,2023-04-15,ZONA 2 LATERAL,9
Hockey_patins,Recam Làser CH Caldes,2023-04-15,ZONA 1 SUPERIOR LATERAL,9
Hockey_patins,Recam Làser CH Caldes,2023-04-15,ZONA 3 INFERIOR SUR,9
Hockey_patins,Recam Làser CH Caldes,2023-04-15,ZONA 1 INFERIOR LATERAL,9
Futbol_sala,Real Betis Futsal,2022-12-03,ZONA 3 INFERIOR SUR,11
Futbol_sala,Real Betis Futsal,2022-12-03,ZONA 2 TRIBUNA,11
Futbol_sala,Real Betis Futsal,2022-12-03,ZONA 2 TRIBUNA,13
Futbol_sala,Real Betis Futsal,2022-12-03,ZONA 2 LATERAL,13
Futbol_sala,Real Betis Futsal,2022-12-03,ZONA 1 SUPERIOR TRIBUNA,16
Futbol_sala,Real Betis Futsal,2022-12-03,ZONA 1 SUPERIOR LATERAL,16
Futbol_sala,Real Betis Futsal,2022-12-03,ZONA 1 INFERIOR TRIBUNA,18
Futbol_sala,Real Betis Futsal,2022-12-03,ZONA 1 INFERIOR LATERAL,18
Futbol_sala,Jimbee Cartagena,2022-12-10,ZONA 2 TRIBUNA,13
Futbol_sala,Jimbee Cartagena,2022-12-10,ZONA 2 TRIBUNA,16
Futbol_sala,Jimbee Cartagena,2022-12-10,ZONA 2 LATERAL,16
Futbol_sala,Jimbee Cartagena,2022-12-10,ZONA 1 SUPERIOR TRIBUNA,19
Futbol_sala,Jimbee Cartagena,2022-12-10,ZONA 1 SUPERIOR LATERAL,19
Futbol_sala,Jimbee Cartagena,2022-12-10,ZONA 1 INFERIOR TRIBUNA,22
Futbol_sala,Jimbee Cartagena,2022-12-10,ZONA 1 INFERIOR LATERAL,22
Futbol_sala,Inter FS,2022-12-21,ZONA 3 INFERIOR SUR,19
Futbol_sala,Inter FS,2022-12-21,ZONA 3 INFERIOR NORTE,19
Futbol_sala,Inter FS,2022-12-21,ZONA 2 TRIBUNA,19
Futbol_sala,Inter FS,2022-12-21,ZONA 2 TRIBUNA,23
Futbol_sala,Inter FS,2022-12-21,ZONA 2 LATERAL,23
Futbol_sala,Inter FS,2022-12-21,ZONA 1 SUPERIOR TRIBUNA,27
Futbol_sala,Inter FS,2022-12-21,ZONA 1 SUPERIOR LATERAL,27
Futbol_sala,Inter FS,2022-12-21,ZONA 1 INFERIOR TRIBUNA,31
Futbol_sala,Inter FS,2022-12-21,ZONA 1 INFERIOR LATERAL,31
Futbol_sala,Industrias Santa Coloma,2023-01-14,ZONA 3 INFERIOR SUR,13
Futbol_sala,Industrias Santa Coloma,2023-01-14,ZONA 3 INFERIOR NORTE,13
Futbol_sala,Industrias Santa Coloma,2023-01-14,ZONA 2 TRIBUNA,13
Futbol_sala,Industrias Santa Coloma,2023-01-14,ZONA 2 TRIBUNA,16
Futbol_sala,Industrias Santa Coloma,2023-01-14,ZONA 2 LATERAL,16
Futbol_sala,Industrias Santa Coloma,2023-01-14,ZONA 1 SUPERIOR TRIBUNA,19
Futbol_sala,Industrias Santa Coloma,2023-01-14,ZONA 1 SUPERIOR LATERAL,19
Futbol_sala,Industrias Santa Coloma,2023-01-14,ZONA 1 INFERIOR TRIBUNA,22
Futbol_sala,Industrias Santa Coloma,2023-01-14,ZONA 1 INFERIOR LATERAL,22
Futbol_sala,Levante UD FS,2023-01-28,ZONA 2 TRIBUNA,13
Futbol_sala,Levante UD FS,2023-01-28,ZONA 2 TRIBUNA,16
Futbol_sala,Levante UD FS,2023-01-28,ZONA 2 LATERAL,16
Futbol_sala,Levante UD FS,2023-01-28,ZONA 1 SUPERIOR TRIBUNA,19
Futbol_sala,Levante UD FS,2023-01-28,ZONA 1 SUPERIOR LATERAL,19
Futbol_sala,Levante UD FS,2023-01-28,ZONA 1 INFERIOR TRIBUNA,22
Futbol_sala,Levante UD FS,2023-01-28,ZONA 1 INFERIOR LATERAL,22
Futbol_sala,Noia Portus Apostoli,2023-03-11,ZONA 3 INFERIOR SUR,9
Futbol_sala,Noia Portus Apostoli,2023-03-11,ZONA 3 INFERIOR NORTE,9
Futbol_sala,Noia Portus Apostoli,2023-03-11,ZONA 2 TRIBUNA,9
Futbol_sala,Noia Portus Apostoli,2023-03-11,ZONA 2 TRIBUNA,11
Futbol_sala,Noia Portus Apostoli,2023-03-11,ZONA 2 LATERAL,11
Futbol_sala,Noia Portus Apostoli,2023-03-11,ZONA 1 SUPERIOR TRIBUNA,13
Futbol_sala,Noia Portus Apostoli,2023-03-11,ZONA 1 SUPERIOR LATERAL,13
Futbol_sala,Noia Portus Apostoli,2023-03-11,ZONA 1 INFERIOR TRIBUNA,15
Futbol_sala,Noia Portus Apostoli,2023-03-11,ZONA 1 INFERIOR LATERAL,15
Futbol_sala,Mallorca Palma Futsal,2023-04-08,ZONA 3 INFERIOR SUR,16
Futbol_sala,Mallorca Palma Futsal,2023-04-08,ZONA 3 INFERIOR NORTE,16
Futbol_sala,Mallorca Palma Futsal,2023-04-08,ZONA 2 TRIBUNA,16
Futbol_sala,Mallorca Palma Futsal,2023-04-08,ZONA 2 TRIBUNA,19
Futbol_sala,Mallorca Palma Futsal,2023-04-08,ZONA 2 LATERAL,19
Futbol_sala,Mallorca Palma Futsal,2023-04-08,ZONA 1 SUPERIOR TRIBUNA,22
Futbol_sala,Mallorca Palma Futsal,2023-04-08,ZONA 1 SUPERIOR LATERAL,22
Futbol_sala,Mallorca Palma Futsal,2023-04-08,ZONA 1 INFERIOR TRIBUNA,26
Futbol_sala,Mallorca Palma Futsal,2023-04-08,ZONA 1 INFERIOR LATERAL,26
Futbol_sala,Xota FS,2023-04-29,ZONA 3 INFERIOR SUR,9
Futbol_sala,Xota FS,2023-04-29,ZONA 3 INFERIOR NORTE,9
Futbol_sala,Xota FS,2023-04-29,ZONA 2 TRIBUNA,9
Futbol_sala,Xota FS,2023-04-29,ZONA 2 TRIBUNA,11
Futbol_sala,Xota FS,2023-04-29,ZONA 2 LATERAL,11
Futbol_sala,Xota FS,2023-04-29,ZONA 1 SUPERIOR TRIBUNA,13
Futbol_sala,Xota FS,2023-04-29,ZONA 1 SUPERIOR LATERAL,13
Futbol_sala,Xota FS,2023-04-29,ZONA 1 INFERIOR TRIBUNA,15
Futbol_sala,Xota FS,2023-04-29,ZONA 1 INFERIOR LATERAL,15
Futbol_sala,Quesos El Hidalgo Manzanares FS,2023-05-13,ZONA 3 INFERIOR SUR,9
Futbol_sala,Quesos El Hidalgo Manzanares FS,2023-05-13,ZONA 3 INFERIOR NORTE,9
Futbol_sala,Quesos El Hidalgo Manzanares FS,2023-05-13,ZONA 2 TRIBUNA,9
Futbol_sala,Quesos El Hidalgo Manzanares FS,2023-05-13,ZONA 2 TRIBUNA,11
Futbol_sala,Quesos El Hidalgo Manzanares FS,2023-05-13,ZONA 2 LATERAL,11
Futbol_sala,Quesos El Hidalgo Manzanares FS,2023-05-13,ZONA 1 SUPERIOR TRIBUNA,13
Futbol_sala,Quesos El Hidalgo Manzanares FS,2023-05-13,ZONA 1 SUPERIOR LATERAL,13
Futbol_sala,Quesos El Hidalgo Manzanares FS,2023-05-13,ZONA 1 INFERIOR TRIBUNA,15
Futbol_sala,Quesos El Hidalgo Manzanares FS,2023-05-13,ZONA 1 INFERIOR LATERAL,15
Futbol_femeni,Real Sociedad,2022-12-03,Gol 1a Graderia,16
Futbol_femeni,Real Sociedad,2022-12-03,Lateral 1a Graderia,19
Futbol_femeni,Real Sociedad,2022-12-03,Tribuna 2a Graderia,22
Futbol_femeni,Real Sociedad,2022-12-03,Tribuna 1a Graderia,26
Futbol_femeni,Alhama Femenino,2022-12-11,Gol 1a Graderia,9
Futbol_femeni,Alhama Femenino,2022-12-11,Lateral 1a Graderia,11
Futbol_femeni,Alhama Femenino,2022-12-11,Tribuna 2a Graderia,13
Futbol_femeni,Alhama Femenino,2022-12-11,Tribuna 1a Graderia,15
Futbol_femeni,Sevilla,2023-01-08,Gol 1a Graderia,13
Futbol_femeni,Sevilla,2023-01-08,Lateral 1a Graderia,16
Futbol_femeni,Sevilla,2023-01-08,Tribuna 2a Graderia,19
Futbol_femeni,Sevilla,2023-01-08,Tribuna 1a Graderia,22
Futbol_femeni,Levante Las Planas Femenino,2023-01-25,Gol 1a Graderia,9
Futbol_femeni,Levante Las Planas Femenino,2023-01-25,Lateral 1a Graderia,11
Futbol_femeni,Levante Las Planas Femenino,2023-01-25,Tribuna 2a Graderia,13
Futbol_femeni,Levante Las Planas Femenino,2023-01-25,Tribuna 1a Graderia,15
Futbol_femeni,Real Betis,2023-02-05,Gol 1a Graderia,11
Futbol_femeni,Real Betis,2023-02-05,Lateral 1a Graderia,13
Futbol_femeni,Real Betis,2023-02-05,Tribuna 2a Graderia,16
Futbol_femeni,Real Betis,2023-02-05,Tribuna 1a Graderia,18
Futbol_femeni,Villarreal Femenino,2023-03-05,Gol 1a Graderia,11
Futbol_femeni,Villarreal Femenino,2023-03-05,Lateral 1a Graderia,13
Futbol_femeni,Villarreal Femenino,2023-03-05,Tribuna 2a Graderia,16
Futbol_femeni,Villarreal Femenino,2023-03-05,Tribuna 1a Graderia,18
Futbol_femeni,Valencia,2023-03-19,Gol 1a Graderia,11
Futbol_femeni,Valencia,2023-03-19,Lateral 1a Graderia,13
Futbol_femeni,Valencia,2023-03-19,Tribuna 2a Graderia,16
Futbol_femeni,Valencia,2023-03-19,Tribuna 1a Graderia,18
Futbol_femeni,Real Madrid Femenino,2023-03-26,Gol 1a Graderia,19
Futbol_femeni,Real Madrid Femenino,2023-03-26,Lateral 1a Graderia,23
Futbol_femeni,Real Madrid Femenino,2023-03-26,Tribuna 2a Graderia,27
Futbol_femeni,Real Madrid Femenino,2023-03-26,Tribuna 1a Graderia,31
Futbol_femeni,Sporting de Huelva,2023-04-30,Gol 1a Graderia,11
Futbol_femeni,Sporting de Huelva,2023-04-30,Lateral 1a Graderia,13
Futbol_femeni,Sporting de Huelva,2023-04-30,Tribuna 2a Graderia,16
Futbol_femeni,Sporting de Huelva,2023-04-30,Tribuna 1a Graderia,18
Futbol_femeni,FC Bayern München,2022-11-24,SZ-CO1G,19
Futbol_femeni,FC Bayern München,2022-11-24,CORNER 1 GRADERIA,16
Futbol_femeni,FC Bayern München,2022-11-24,CORNER 1 GRADERIA,16
Futbol_femeni,FC Bayern München,2022-11-24,SZ-CO1G,16
Futbol_femeni,FC Bayern München,2022-11-24,SZ-LAT3S,13
Futbol_femeni,FC Bayern München,2022-11-24,LATERAL 3 SUPERIOR,13
Futbol_femeni,FC Bayern München,2022-11-24,LATERAL 3 SUPERIOR,13
Futbol_femeni,FC Bayern München,2022-11-24,SZ-LAT3S,11
Futbol_femeni,FC Bayern München,2022-11-24,SZ-LAT3I,11
Futbol_femeni,FC Bayern München,2022-11-24,LATERAL 3 INFERIOR,26
Futbol_femeni,FC Bayern München,2022-11-24,LATERAL 3 INFERIOR,22
Futbol_femeni,FC Bayern München,2022-11-24,SZ-LAT3I,22
Futbol_femeni,FC Bayern München,2022-11-24,SZ-CO2GS,19
Futbol_femeni,FC Bayern München,2022-11-24,CORNER 2 GRADERIA SUPERIOR,19
Futbol_femeni,FC Bayern München,2022-11-24,CORNER 2 GRADERIA SUPERIOR,19
Futbol_femeni,FC Bayern München,2022-11-24,SZ-CO2GS,16
Futbol_femeni,FC Bayern München,2022-11-24,SZ-GO2GS,16
Futbol_femeni,Atlético de Madrid,2023-04-16,Gol 1a Graderia,19
Futbol_femeni,Atlético de Madrid,2023-04-16,Lateral 1a Graderia,23
Futbol_femeni,Atlético de Madrid,2023-04-16,Tribuna 2a Graderia,27
Futbol_femeni,Atlético de Madrid,2023-04-16,Tribuna 1a Graderia,31
Futbol_femeni,Athletic Club,2023-05-14,Tribuna 1ª Gradería,22
Futbol_femeni,Athletic Club,2023-05-14,Tribuna 1ª Gradería,19
Futbol_femeni,Athletic Club,2023-05-14,Tribuna 2ª Gradería,16
Futbol_femeni,Athletic Club,2023-05-14,Tribuna 2ª Gradería,13
Futbol_masculi_atletic,Numancia,2022-11-26,Gol 1a Graderia,13
Futbol_masculi_atletic,Numancia,2022-11-26,Lateral 1a Graderia,16
Futbol_masculi_atletic,Numancia,2022-11-26,Tribuna 2a Graderia,19
Futbol_masculi_atletic,Numancia,2022-11-26,Tribuna 1a Graderia,22
Futbol_masculi_atletic,Eldense,2022-12-07,Tribuna 1ª Gradería,22
Futbol_masculi_atletic,Eldense,2022-12-07,Tribuna 1ª Gradería,19
Futbol_masculi_atletic,Eldense,2022-12-07,Tribuna 2ª Gradería,16
Futbol_masculi_atletic,Eldense,2022-12-07,Tribuna 2ª Gradería,13
Futbol_masculi_atletic,Alcoyano,2023-02-26,Gol 1a Graderia,16
Futbol_masculi_atletic,Alcoyano,2023-02-26,Lateral 1a Graderia,19
Futbol_masculi_atletic,Alcoyano,2023-02-26,Tribuna 2a Graderia,22
Futbol_masculi_atletic,Alcoyano,2023-02-26,Tribuna 1a Graderia,26
Futbol_masculi_atletic,Real Unión,2022-12-17,Gol 1a Graderia,13
Futbol_masculi_atletic,Real Unión,2022-12-17,Lateral 1a Graderia,16
Futbol_masculi_atletic,Real Unión,2022-12-17,Tribuna 2a Graderia,19
Futbol_masculi_atletic,Real Unión,2022-12-17,Tribuna 1a Graderia,22
Futbol_masculi_atletic,La Nucía,2023-01-15,Gol 1a Graderia,13
Futbol_masculi_atletic,La Nucía,2023-01-15,Lateral 1a Graderia,16
Futbol_masculi_atletic,La Nucía,2023-01-15,Tribuna 2a Graderia,19
Futbol_masculi_atletic,La Nucía,2023-01-15,Tribuna 1a Graderia,22
Futbol_masculi_atletic,Real Sociedad B,2023-01-29,Tribuna 1ª Gradería,22
Futbol_masculi_atletic,Real Sociedad B,2023-01-29,Tribuna 1ª Gradería,19
Futbol_masculi_atletic,Real Sociedad B,2023-01-29,Tribuna 2ª Gradería,16
Futbol_masculi_atletic,Real Sociedad B,2023-01-29,Tribuna 2ª Gradería,13
Futbol_masculi_atletic,Amorebieta,2023-02-12,Gol 1a Graderia,11
Futbol_masculi_atletic,Amorebieta,2023-02-12,Lateral 1a Graderia,13
Futbol_masculi_atletic,Amorebieta,2023-02-12,Tribuna 2a Graderia,16
Futbol_masculi_atletic,Amorebieta,2023-02-12,Tribuna 1a Graderia,18
Futbol_masculi_atletic,Gimnàstic de Tarragona,2023-03-12,Gol 1a Graderia,16
Futbol_masculi_atletic,Gimnàstic de Tarragona,2023-03-12,Lateral 1a Graderia,19
Futbol_masculi_atletic,Gimnàstic de Tarragona,2023-03-12,Tribuna 2a Graderia,22
Futbol_masculi_atletic,Gimnàstic de Tarragona,2023-03-12,Tribuna 1a Graderia,26
Futbol_masculi_atletic,Atlético Baleares,2023-04-02,Tribuna 1ª Gradería,22
Futbol_masculi_atletic,Atlético Baleares,2023-04-02,Tribuna 1ª Gradería,19
Futbol_masculi_atletic,Atlético Baleares,2023-04-02,Tribuna 2ª Gradería,16
Futbol_masculi_atletic,Atlético Baleares,2023-04-02,Tribuna 2ª Gradería,13
Futbol_masculi_atletic,SD Logroñés,2023-04-16,Tribuna 1ª Gradería,22
Futbol_masculi_atletic,SD Logroñés,2023-04-16,Tribuna 1ª Gradería,19
Futbol_masculi_atletic,SD Logroñés,2023-04-16,Tribuna 2ª Gradería,16
Futbol_masculi_atletic,SD Logroñés,2023-04-16,Tribuna 2ª Gradería,13
Futbol_masculi_atletic,Osasuna Promesas,2023-04-30,Tribuna 1ª Gradería,22
Futbol_masculi_atletic,Osasuna Promesas,2023-04-30,Tribuna 1ª Gradería,19
Futbol_masculi_atletic,Osasuna Promesas,2023-04-30,Tribuna 2ª Gradería,16
Futbol_masculi_atletic,Osasuna Promesas,2023-04-30,Tribuna 2ª Gradería,13
Futbol_masculi_atletic,Intercity Sant Joan,2023-05-14,Tribuna 1ª Gradería,22
Futbol_masculi_atletic,Intercity Sant Joan,2023-05-14,Tribuna 1ª Gradería,19
Futbol_masculi_atletic,Intercity Sant Joan,2023-05-14,Tribuna 2ª Gradería,16
Futbol_masculi_atletic,Intercity Sant Joan,2023-05-14,Tribuna 2ª Gradería,13
Futbol_masculi_atletic,UD Logroñés,2023-05-28,Tribuna 1ª Gradería,22
Futbol_masculi_atletic,UD Logroñés,2023-05-28,Tribuna 1ª Gradería,19
Futbol_masculi_atletic,UD Logroñés,2023-05-28,Tribuna 2ª Gradería,16
Futbol_masculi_atletic,UD Logroñés,2023-05-28,Tribuna 2ª Gradería,13
